Designator,Mid X,Mid Y,Rotation,Layer
C1,186.1,-92.95,90.0,top
C2,99.2,-89.0,270.0,top
C3,154.625,-108.3,0.0,top
C4,176.25,-108.65,0.0,top
C5,168.25,-95.0,0.0,top
C6,185.6,-101.9625,180.0,top
C7,190.45,-99.1,180.0,bottom
D1,108.23,-94.5,0.0,bottom
D10,171.23,-85.2,0.0,bottom
D11,137.3,-80.55,90.0,bottom
D12,156.25,-75.15,90.0,bottom
D13,180.0,-78.0,0.0,bottom
D14,131.15,-80.45,90.0,bottom
D15,113.15,-77.45,90.0,bottom
D16,103.1,-102.15,90.0,top
D2,126.27,-94.5,0.0,bottom
D3,144.23,-94.5,0.0,bottom
D4,162.23,-94.5,0.0,bottom
D5,180.23,-94.5,0.0,bottom
D6,169.75,-121.77,270.0,bottom
D7,168.25,-97.25,0.0,top
D8,169.0,-90.5,0.0,top
D9,169.0,-92.85,0.0,top
F1,186.85,-85.2,180.0,top
J1,116.905,-120.5,270.0,top
J10,144.0,-80.45,270.0,top
J11,126.0,-80.45,270.0,top
J12,108.0,-80.45,270.0,top
J13,180.1,-89.5,0.0,top
J14,171.245,-80.5,90.0,top
J15,116.1,-84.37,180.0,top
J16,96.8,-100.0,270.0,top
J2,171.25,-75.2,0.0,top
J3,108.0,-119.45,90.0,top
J4,126.0,-119.45,90.0,top
J5,144.0,-119.45,90.0,top
J6,162.0,-119.45,90.0,top
J7,180.0,-119.5,90.0,top
J8,180.0,-80.5,270.0,top
J9,162.0,-80.45,270.0,top
L1,172.125,-101.75,180.0,top
R1,119.0,-111.5,180.0,bottom
R10,168.1975,-106.1,180.0,top
R11,103.1,-94.6,180.0,bottom
R12,121.1,-94.5,180.0,bottom
R13,139.0,-94.5,180.0,bottom
R14,157.1,-94.5,180.0,bottom
R15,175.0875,-94.5,180.0,bottom
R16,186.45,-105.4,90.0,top
R17,188.55,-105.4,90.0,top
R18,190.65,-105.4,90.0,top
R19,192.75,-105.4,270.0,top
R2,137.0,-111.5,180.0,bottom
R20,181.35,-108.55,0.0,bottom
R21,163.35,-108.6,0.0,bottom
R22,149.6,-106.7,180.0,bottom
R23,120.35,-106.6,0.0,bottom
R24,113.6,-106.6,180.0,bottom
R25,96.7,-99.0,0.0,bottom
R26,96.7,-101.0,180.0,bottom
R27,170.0,-90.25,270.0,bottom
R3,155.0,-111.5,180.0,bottom
R4,173.0375,-111.5,180.0,bottom
R5,191.0,-111.5,180.0,bottom
R6,192.45,-97.4,90.0,top
R7,174.25,-122.25,270.0,bottom
R9,168.2125,-108.15,180.0,top
SW1,108.0,-102.75,270.0,bottom
SW11,98.3625,-112.15,90.0,top
SW12,190.55,-88.2,270.0,bottom
SW2,126.0,-102.75,270.0,bottom
SW3,144.0,-102.75,270.0,bottom
SW4,162.0,-102.75,270.0,bottom
SW5,180.0,-102.75,270.0,bottom
U1,127.65,-99.975,0.0,top
U2,116.0,-115.73,0.0,bottom
U3,134.0,-115.73,0.0,bottom
U4,152.0085,-115.73,0.0,bottom
U5,170.0,-115.73,0.0,bottom
U6,187.9915,-115.73,0.0,bottom
U7,189.35,-97.4,180.0,top
U8,172.215,-106.95,0.0,top
U9,189.2575,-101.6,180.0,top
